epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,156.321,1.10335,0.98652,1.05863,0.66437,0.43144,0.51476,0.27567,1.71851,1.79606,1.39848,0.00070894,0.00070894,0.00070894
149,157.26,1.07071,0.93881,1.03441,0.68702,0.43415,0.53232,0.29294,1.64862,1.752,1.36425,0.00070696,0.00070696,0.00070696
150,158.253,1.07147,0.94403,1.03803,0.68205,0.45182,0.53734,0.29667,1.64129,1.73227,1.37636,0.00070498,0.00070498,0.00070498
151,159.215,1.17865,0.97463,1.06181,0.66916,0.45934,0.5333,0.2827,1.68875,1.70436,1.42403,0.000703,0.000703,0.000703
152,160.153,1.10057,0.98236,1.04739,0.65323,0.44202,0.51599,0.25911,1.83847,1.72973,1.53648,0.00070102,0.00070102,0.00070102
153,161.088,1.12603,0.96844,1.05179,0.64838,0.4241,0.49945,0.2389,1.9804,1.75667,1.64484,0.00069904,0.00069904,0.00069904
154,162.057,1.17546,0.99382,1.05184,0.63241,0.4383,0.49747,0.24811,1.94341,1.70567,1.63259,0.00069706,0.00069706,0.00069706
155,163.053,1.03994,0.94139,1.02873,0.62254,0.44647,0.50284,0.27347,1.81325,1.62746,1.55116,0.00069508,0.00069508,0.00069508
156,163.987,1.10563,0.95863,1.02959,0.68151,0.43764,0.51011,0.28147,1.7628,1.57786,1.53401,0.0006931,0.0006931,0.0006931
157,164.952,1.19592,0.99725,1.06635,0.63862,0.45383,0.50112,0.26423,1.8128,1.61011,1.60901,0.00069112,0.00069112,0.00069112
158,165.9,1.0549,0.91798,1.01781,0.63148,0.43237,0.48652,0.23726,1.91341,1.67514,1.71898,0.00068914,0.00068914,0.00068914
159,166.908,1.04859,0.91043,1.01863,0.62548,0.44426,0.49258,0.2393,1.89678,1.68017,1.70212,0.00068716,0.00068716,0.00068716
160,167.869,1.12319,0.94937,1.03402,0.64171,0.48002,0.54918,0.29158,1.72074,1.52347,1.53307,0.00068518,0.00068518,0.00068518
161,168.879,1.09828,0.96016,1.04297,0.6785,0.52447,0.6008,0.34675,1.5684,1.36951,1.39738,0.0006832,0.0006832,0.0006832
162,169.891,1.05561,0.91985,1.00976,0.73608,0.53639,0.62729,0.35988,1.56229,1.29879,1.38753,0.00068122,0.00068122,0.00068122
163,170.94,1.03719,0.89889,1.01391,0.7375,0.54108,0.63498,0.36234,1.58057,1.28455,1.39217,0.00067924,0.00067924,0.00067924
164,171.948,1.09342,0.92719,1.05676,0.74755,0.52524,0.63106,0.35127,1.6188,1.31705,1.41648,0.00067726,0.00067726,0.00067726
165,172.892,1.00757,0.90327,1.01951,0.71613,0.52695,0.62794,0.34907,1.60174,1.35222,1.4026,0.00067528,0.00067528,0.00067528
166,173.855,1.20099,0.95761,1.05573,0.74333,0.52212,0.63607,0.37108,1.49166,1.30672,1.31926,0.0006733,0.0006733,0.0006733
167,174.865,1.04305,0.90792,1.02025,0.7498,0.54404,0.64715,0.38259,1.46243,1.24249,1.29337,0.00067132,0.00067132,0.00067132
168,175.833,1.09016,0.90632,1.02293,0.72607,0.55625,0.65165,0.37764,1.50169,1.23932,1.32469,0.00066934,0.00066934,0.00066934
169,176.831,1.07483,0.89705,1.02124,0.72649,0.54508,0.64066,0.36914,1.54225,1.26138,1.35366,0.00066736,0.00066736,0.00066736
170,177.823,1.13155,0.92914,1.0342,0.73721,0.53342,0.64695,0.35611,1.59932,1.27191,1.39511,0.00066538,0.00066538,0.00066538
171,178.838,1.12452,0.92439,1.04389,0.71994,0.56476,0.65329,0.35178,1.61848,1.26546,1.41586,0.0006634,0.0006634,0.0006634
172,179.787,1.03235,0.87273,1.00372,0.76216,0.56906,0.67237,0.37016,1.54369,1.21641,1.36891,0.00066142,0.00066142,0.00066142
173,180.753,1.07864,0.90926,1.00798,0.75972,0.58341,0.68062,0.38354,1.51301,1.19298,1.34667,0.00065944,0.00065944,0.00065944
174,181.762,1.04349,0.84402,0.99472,0.78731,0.57341,0.67628,0.37703,1.52105,1.20278,1.37136,0.00065746,0.00065746,0.00065746
175,182.748,1.00636,0.88114,0.99723,0.77784,0.57769,0.67899,0.37279,1.52564,1.16345,1.38613,0.00065548,0.00065548,0.00065548
176,183.702,0.99544,0.84739,1.00243,0.75457,0.59235,0.67637,0.36144,1.56034,1.11563,1.43462,0.0006535,0.0006535,0.0006535
177,184.669,1.03728,0.84795,0.98988,0.75905,0.6223,0.68801,0.37154,1.52865,1.07695,1.42117,0.00065152,0.00065152,0.00065152
178,185.618,1.03582,0.86321,1.02881,0.77462,0.6229,0.69517,0.37398,1.53489,1.08233,1.42063,0.00064954,0.00064954,0.00064954
